osm_id,name,description,category,amenity_type,access,capacity,rating,latitude,longitude
n6496490204,Sunoco,,fuel,fuel,,,,38.8595112,-77.3034021
n6496585126,Baby Toddler & Preschool Land,,kindergarten,kindergarten,,,,38.8644419,-77.3059147
n6499098720,The Sandwich Shop,,restaurant,restaurant,,,,38.901273,-77.2672432
n6501520809,Halstead Fountain II,,fountain,fountain,,,,38.880694,-77.2308201
n6502229144,Starbucks,,cafe,cafe,,,,38.948754,-77.3388758
n6506526002,Dunn Loring Metro,,bicycle_rental,bicycle_rental,,19.0,,38.8827127,-77.228256
n6506940893,Starbucks,,cafe,cafe,,,,38.8819689,-77.2287421
n6514218117,Sunoco,,fuel,fuel,,,,38.6652726,-77.2505036
n6517099286,Sir Sandwich Co,,restaurant,restaurant,,,,38.931784,-77.238352
n6518787940,Kiin Imm Thai,,restaurant,restaurant,,,,38.8814131,-77.2307585
n6518787941,Jersey Mike's Subs,,fast_food,fast_food,,,,38.8819348,-77.2288476
n6518787942,Rice Culture,,ice_cream,ice_cream,,,,38.8819064,-77.2289574
n6519116641,Ted's Bulletin,,restaurant,restaurant,,,,38.879726,-77.110943
n6529927379,Little Free Library,,public_bookcase,public_bookcase,,,,38.8786519,-77.0850173
n6529927381,Little Free Library,,public_bookcase,public_bookcase,,,,38.8511253,-77.0658801
n6529927382,Little Free Library,,public_bookcase,public_bookcase,,,,38.8459746,-77.0768546
n6535373077,PokéHub,,restaurant,restaurant,,,,38.85268,-77.3270858
n6555963529,Bronson Bierhall,,restaurant,restaurant,,,,38.882149,-77.109676
n6560558753,Panda Cafe,,restaurant,restaurant,,,,38.8781858,-77.12198
n6573542531,John Burton Library,,library,library,,,,38.8857686,-77.1017959
